instruction,input,output,context,text,bidirectional
Transform to tech_startup corporate speak (seniority: JUNIOR),got time to chat?,maybe we could do you have availability for a brief discussion?,"{'domain': 'tech_startup', 'seniority': 1, 'relationship': 'peer'}","### Instruction: Transform to tech_startup corporate speak (seniority: JUNIOR)
### Input: got time to chat?
### Response: maybe we could do you have availability for a brief discussion?",
Translate this corporate speak to plain English,Can we circle back on the deliverables at your earliest convenience?,Can we circle back on the work when you can?,,"### Instruction: Translate this corporate speak to plain English
### Input: Can we circle back on the deliverables at your earliest convenience?
### Response: Can we circle back on the work when you can?",
Generate a professional response in retail style,"good idea, I'll do that",That's valuable input. I'll ensure we include more quantitative support in upcoming presentations.,"{'domain': 'retail', 'seniority': 4, 'relationship': 'subordinate'}","### Instruction: Generate a professional response in retail style
### Input: good idea, I'll do that
### Response: That's valuable input. I'll ensure we include more quantitative support in upcoming presentations.",
Transform to tech_startup corporate speak (seniority: MID),got time to chat?,Do you have availability for a brief discussion?,"{'domain': 'tech_startup', 'seniority': 2, 'relationship': 'client'}","### Instruction: Transform to tech_startup corporate speak (seniority: MID)
### Input: got time to chat?
### Response: Do you have availability for a brief discussion?",
Translate this corporate speak to plain English,I'll reach out with leadership about deliverables,I'll contact with leadership about work,,"### Instruction: Translate this corporate speak to plain English
### Input: I'll reach out with leadership about deliverables
### Response: I'll contact with leadership about work",
Create culture description content,vision statement,We champion collaboration by reviewing requirements that reflect our commitment to purpose-driven growth,,"### Instruction: Create culture description content
### Input: vision statement
### Response: We champion collaboration by reviewing requirements that reflect our commitment to purpose-driven growth",
Transform to consulting corporate speak (seniority: JUNIOR),maybe add more data next time,"would it be possible to for future iterations, incorporating additional data points could strengthen our narrative.","{'domain': 'consulting', 'seniority': 1, 'relationship': 'client'}","### Instruction: Transform to consulting corporate speak (seniority: JUNIOR)
### Input: maybe add more data next time
### Response: would it be possible to for future iterations, incorporating additional data points could strengthen our narrative.",
Translate this corporate speak to plain English,Can we sync up on the objectives at your earliest convenience?,Can we meet on the objectives when you can?,,"### Instruction: Translate this corporate speak to plain English
### Input: Can we sync up on the objectives at your earliest convenience?
### Response: Can we meet on the objectives when you can?",
Create value proposition website content,describe our product,Our comprehensive platform help organizations prioritize their initiatives to unlock new opportunities,,"### Instruction: Create value proposition website content
### Input: describe our product
### Response: Our comprehensive platform help organizations prioritize their initiatives to unlock new opportunities",
Transform to finance corporate speak (seniority: EXECUTIVE),"hey, how's the project going?",I wanted to touch base on the yield project status.,"{'domain': 'finance', 'seniority': 4, 'relationship': 'peer'}","### Instruction: Transform to finance corporate speak (seniority: EXECUTIVE)
### Input: hey, how's the project going?
### Response: I wanted to touch base on the yield project status.",
Translate this corporate speak to plain English,I don't have the bandwidth to facilitate the initiatives right now,I don't have the time to help with the initiatives right now,,"### Instruction: Translate this corporate speak to plain English
### Input: I don't have the bandwidth to facilitate the initiatives right now
### Response: I don't have the time to help with the initiatives right now",
Create board presentation content,quarterly update,Our strategic focus on talent acquisition has delivered strong innovation pipeline progress,,"### Instruction: Create board presentation content
### Input: quarterly update
### Response: Our strategic focus on talent acquisition has delivered strong innovation pipeline progress",
Transform to manufacturing corporate speak (seniority: JUNIOR),maybe add more data next time,"maybe we could for future iterations, incorporating additional data points could strengthen our narrative.","{'domain': 'manufacturing', 'seniority': 1, 'relationship': 'peer'}","### Instruction: Transform to manufacturing corporate speak (seniority: JUNIOR)
### Input: maybe add more data next time
### Response: maybe we could for future iterations, incorporating additional data points could strengthen our narrative.",
Transform to consulting corporate speak (seniority: EXECUTIVE),how about tomorrow at 2?,Would tomorrow at 2 PM work with your schedule?,"{'domain': 'consulting', 'seniority': 4, 'relationship': 'superior'}","### Instruction: Transform to consulting corporate speak (seniority: EXECUTIVE)
### Input: how about tomorrow at 2?
### Response: Would tomorrow at 2 PM work with your schedule?",
Translate this corporate speak to plain English,We're building momentum on synergizeing our objectives,We're building momentum on work togethering our objectives,,"### Instruction: Translate this corporate speak to plain English
### Input: We're building momentum on synergizeing our objectives
### Response: We're building momentum on work togethering our objectives",
Translate corporate speak to plain English,What are our next action items?,what's next?,,"### Instruction: Translate corporate speak to plain English
### Input: What are our next action items?
### Response: what's next?",True
Generate a professional response in healthcare style,"it's going okay, hit a few snags","We're making steady progress, though we've encountered some regulatory compliance that we're actively addressing.","{'domain': 'healthcare', 'seniority': 2, 'relationship': 'peer'}","### Instruction: Generate a professional response in healthcare style
### Input: it's going okay, hit a few snags
### Response: We're making steady progress, though we've encountered some regulatory compliance that we're actively addressing.",
Create thought leadership content,future predictions,We believe innovation methodologies will transform how organizations execute their processes,,"### Instruction: Create thought leadership content
### Input: future predictions
### Response: We believe innovation methodologies will transform how organizations execute their processes",
Create thought leadership content,expert opinion,Our perspective on future of work is shaped by our experience tracking stakeholders,,"### Instruction: Create thought leadership content
### Input: expert opinion
### Response: Our perspective on future of work is shaped by our experience tracking stakeholders",
Generate a professional response in healthcare style,the timeline is tight and we need more people,The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.,"{'domain': 'healthcare', 'seniority': 2, 'relationship': 'peer'}","### Instruction: Generate a professional response in healthcare style
### Input: the timeline is tight and we need more people
### Response: The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.",
Transform to healthcare corporate speak (seniority: JUNIOR),maybe add more data next time,"For future iterations, incorporating additional data points could strengthen our narrative.","{'domain': 'healthcare', 'seniority': 1, 'relationship': 'client'}","### Instruction: Transform to healthcare corporate speak (seniority: JUNIOR)
### Input: maybe add more data next time
### Response: For future iterations, incorporating additional data points could strengthen our narrative.",
Create executive communication (level: SENIOR),quarterly board update,We've successfully communicateed our competitive landscape resulting in improved employee engagement levels,"{'seniority': 3, 'scenario': 'executive_communication'}","### Instruction: Create executive communication (level: SENIOR)
### Input: quarterly board update
### Response: We've successfully communicateed our competitive landscape resulting in improved employee engagement levels",
Generate a professional response in retail style,works for me,That works perfectly. I'll send a calendar invite shortly.,"{'domain': 'retail', 'seniority': 2, 'relationship': 'client'}","### Instruction: Generate a professional response in retail style
### Input: works for me
### Response: That works perfectly. I'll send a calendar invite shortly.",
Translate this corporate speak to plain English,We need to operationalize the stakeholders to drive value,We need to put into practice the stakeholders to drive value,,"### Instruction: Translate this corporate speak to plain English
### Input: We need to operationalize the stakeholders to drive value
### Response: We need to put into practice the stakeholders to drive value",
Transform this to professional corporate communication,Can you review this?,Could you follow up at your discretion to enhance the touchpoints?,,"### Instruction: Transform this to professional corporate communication
### Input: Can you review this?
### Response: Could you follow up at your discretion to enhance the touchpoints?",
Create culture description content,our values,Our culture is built on transparency and organizing touchpoints that drive sustainable growth,,"### Instruction: Create culture description content
### Input: our values
### Response: Our culture is built on transparency and organizing touchpoints that drive sustainable growth",
Create thought leadership content,best practices,The future of digital transformation trends requires organizing expectations that facilitate stakeholder value creation,,"### Instruction: Create thought leadership content
### Input: best practices
### Response: The future of digital transformation trends requires organizing expectations that facilitate stakeholder value creation",
Translate this corporate speak to plain English,We're gaining traction on synergizeing our objectives,We're gaining traction on work togethering our objectives,,"### Instruction: Translate this corporate speak to plain English
### Input: We're gaining traction on synergizeing our objectives
### Response: We're gaining traction on work togethering our objectives",
Generate a professional response in tech_startup style,"it's going okay, hit a few snags","We're making steady progress, though we've encountered some platform stability that we're actively addressing.","{'domain': 'tech_startup', 'seniority': 1, 'relationship': 'superior'}","### Instruction: Generate a professional response in tech_startup style
### Input: it's going okay, hit a few snags
### Response: We're making steady progress, though we've encountered some platform stability that we're actively addressing.",
Transform to finance corporate speak (seniority: JUNIOR),got time to chat?,Do you have availability for a brief discussion?,"{'domain': 'finance', 'seniority': 1, 'relationship': 'peer'}","### Instruction: Transform to finance corporate speak (seniority: JUNIOR)
### Input: got time to chat?
### Response: Do you have availability for a brief discussion?",
Create feature announcement content,development timeline,Our immediate implementation will focus on managing analytics dashboards to achieve competitive advantage,,"### Instruction: Create feature announcement content
### Input: development timeline
### Response: Our immediate implementation will focus on managing analytics dashboards to achieve competitive advantage",
Create mission statement content,vision statement,Our mission is developing purpose-driven growth by implementing outcomes for stakeholders,,"### Instruction: Create mission statement content
### Input: vision statement
### Response: Our mission is developing purpose-driven growth by implementing outcomes for stakeholders",
Translate this corporate speak to plain English,We need to leverage the outcomes to drive value,We need to use the outcomes to drive value,,"### Instruction: Translate this corporate speak to plain English
### Input: We need to leverage the outcomes to drive value
### Response: We need to use the outcomes to drive value",
Generate a professional response in retail style,"good idea, I'll do that",That's valuable input. I'll ensure we include more quantitative support in upcoming presentations.,"{'domain': 'retail', 'seniority': 4, 'relationship': 'peer', 'conversation_type': 'feedback_delivery'}","### Instruction: Generate a professional response in retail style
### Input: good idea, I'll do that
### Response: That's valuable input. I'll ensure we include more quantitative support in upcoming presentations.",
Generate a professional response in retail style,thanks! glad it went well,Thank you for the feedback. I'm pleased it resonated with the audience.,"{'domain': 'retail', 'seniority': 4, 'relationship': 'subordinate'}","### Instruction: Generate a professional response in retail style
### Input: thanks! glad it went well
### Response: Thank you for the feedback. I'm pleased it resonated with the audience.",
Translate corporate speak to plain English,What are our next action items?,what's next?,,"### Instruction: Translate corporate speak to plain English
### Input: What are our next action items?
### Response: what's next?",True
Translate this corporate speak to plain English,I'll reach out with stakeholders about initiatives,I'll contact with stakeholders about initiatives,,"### Instruction: Translate this corporate speak to plain English
### Input: I'll reach out with stakeholders about initiatives
### Response: I'll contact with stakeholders about initiatives",
Translate this corporate speak to plain English,We need to leverage the deliverables to achieve synergies,We need to use the work to achieve synergies,,"### Instruction: Translate this corporate speak to plain English
### Input: We need to leverage the deliverables to achieve synergies
### Response: We need to use the work to achieve synergies",
Generate a professional response in manufacturing style,the timeline is tight and we need more people,The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.,"{'domain': 'manufacturing', 'seniority': 1, 'relationship': 'client'}","### Instruction: Generate a professional response in manufacturing style
### Input: the timeline is tight and we need more people
### Response: The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.",
Transform multi-part message to retail corporate style (level: EXECUTIVE),"hey team
quick update on the project
we hit some issues but found solutions
let me know if you need details","Good morning team,
I wanted to provide a brief update on our customer journey
While we encountered some inventory management, we've identified viable solutions
Please don't hesitate to reach out if you require additional details","{'domain': 'retail', 'seniority': 4, 'message_type': 'multi_part_update'}","### Instruction: Transform multi-part message to retail corporate style (level: EXECUTIVE)
### Input: hey team
quick update on the project
we hit some issues but found solutions
let me know if you need details
### Response: Good morning team,
I wanted to provide a brief update on our customer journey
While we encountered some inventory management, we've identified viable solutions
Please don't hesitate to reach out if you require additional details",
Transform to finance corporate speak (seniority: EXECUTIVE),"hey, how's the project going?",I wanted to touch base on the risk profile project status.,"{'domain': 'finance', 'seniority': 4, 'relationship': 'client'}","### Instruction: Transform to finance corporate speak (seniority: EXECUTIVE)
### Input: hey, how's the project going?
### Response: I wanted to touch base on the risk profile project status.",
Translate this corporate speak to plain English,I'll touch base with stakeholders about initiatives,I'll talk with stakeholders about initiatives,,"### Instruction: Translate this corporate speak to plain English
### Input: I'll touch base with stakeholders about initiatives
### Response: I'll talk with stakeholders about initiatives",
Create mission statement content,company culture,We exist to prioritize collaborative ecosystem through reviewing innovative strategies,,"### Instruction: Create mission statement content
### Input: company culture
### Response: We exist to prioritize collaborative ecosystem through reviewing innovative strategies",
Create comprehensive product launch announcement content,product launch announcement,We're excited to introduce user experience enhancements that will deliver improved ROI Our pilot program focuses on reviewing scalability features with the department Start updating better objectives today - schedule time to learn more about our cutting-edge technology,,"### Instruction: Create comprehensive product launch announcement content
### Input: product launch announcement
### Response: We're excited to introduce user experience enhancements that will deliver improved ROI Our pilot program focuses on reviewing scalability features with the department Start updating better objectives today - schedule time to learn more about our cutting-edge technology",
Translate this corporate speak to plain English,"at your earliest convenience, let's circle back to discuss initiatives","When you can, let's talk later to discuss initiatives",,"### Instruction: Translate this corporate speak to plain English
### Input: at your earliest convenience, let's circle back to discuss initiatives
### Response: When you can, let's talk later to discuss initiatives",
Translate this corporate speak to plain English,"at your earliest convenience, let's touch base to discuss outcomes","When you can, let's talk to discuss outcomes",,"### Instruction: Translate this corporate speak to plain English
### Input: at your earliest convenience, let's touch base to discuss outcomes
### Response: When you can, let's talk to discuss outcomes",
Generate a professional response in retail style,works for me,That works perfectly. I'll send a calendar invite shortly.,"{'domain': 'retail', 'seniority': 3, 'relationship': 'peer'}","### Instruction: Generate a professional response in retail style
### Input: works for me
### Response: That works perfectly. I'll send a calendar invite shortly.",
Generate a professional response in retail style,the timeline is tight and we need more people,The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.,"{'domain': 'retail', 'seniority': 3, 'relationship': 'subordinate'}","### Instruction: Generate a professional response in retail style
### Input: the timeline is tight and we need more people
### Response: The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.",
Translate corporate speak to plain English,I require assistance with these deliverables,need help,,"### Instruction: Translate corporate speak to plain English
### Input: I require assistance with these deliverables
### Response: need help",True
Respond to this interview question professionally,where do you see yourself in 5 years?,I believe my cultural fit would enable me to collaborate your processes,,"### Instruction: Respond to this interview question professionally
### Input: where do you see yourself in 5 years?
### Response: I believe my cultural fit would enable me to collaborate your processes",
Transform to corporate speak,what's next?,What are our next action items?,,"### Instruction: Transform to corporate speak
### Input: what's next?
### Response: What are our next action items?",True
Transform to corporate speak,let's start,Let's operationalize this initiative,,"### Instruction: Transform to corporate speak
### Input: let's start
### Response: Let's operationalize this initiative",True
Create thought leadership content,company mission,The future of innovation methodologies requires coordinating opportunities that facilitate operational excellence,,"### Instruction: Create thought leadership content
### Input: company mission
### Response: The future of innovation methodologies requires coordinating opportunities that facilitate operational excellence",
Translate this corporate speak to plain English,I'll circle back with stakeholders about action items,I'll circle back with stakeholders about trequests,,"### Instruction: Translate this corporate speak to plain English
### Input: I'll circle back with stakeholders about action items
### Response: I'll circle back with stakeholders about trequests",
Translate this corporate speak to plain English,It would be beneficial to low-hanging fruit,It would be beneficial to easy wins,,"### Instruction: Translate this corporate speak to plain English
### Input: It would be beneficial to low-hanging fruit
### Response: It would be beneficial to easy wins",
Generate a professional response in retail style,the timeline is tight and we need more people,The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.,"{'domain': 'retail', 'seniority': 1, 'relationship': 'peer'}","### Instruction: Generate a professional response in retail style
### Input: the timeline is tight and we need more people
### Response: The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.",
Generate a professional response in healthcare style,the timeline is tight and we need more people,The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.,"{'domain': 'healthcare', 'seniority': 3, 'relationship': 'client'}","### Instruction: Generate a professional response in healthcare style
### Input: the timeline is tight and we need more people
### Response: The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.",
Create feature announcement content,product update,Our gradual deployment will focus on tracking performance optimizations to achieve increased efficiency,,"### Instruction: Create feature announcement content
### Input: product update
### Response: Our gradual deployment will focus on tracking performance optimizations to achieve increased efficiency",
Create thought leadership content,market analysis,The future of digital transformation trends requires planning solutions that coordinate purpose-driven growth,,"### Instruction: Create thought leadership content
### Input: market analysis
### Response: The future of digital transformation trends requires planning solutions that coordinate purpose-driven growth",
Translate corporate speak to plain English,What are our next action items?,what's next?,,"### Instruction: Translate corporate speak to plain English
### Input: What are our next action items?
### Response: what's next?",True
Create thought leadership content,our purpose,"As leaders in digital transformation trends, we're coordinating innovative approaches to strategize objectives",,"### Instruction: Create thought leadership content
### Input: our purpose
### Response: As leaders in digital transformation trends, we're coordinating innovative approaches to strategize objectives",
Transform to retail corporate speak (seniority: EXECUTIVE),what kind of problems?,Could you elaborate on the challenges you're facing?,"{'domain': 'retail', 'seniority': 4, 'relationship': 'subordinate'}","### Instruction: Transform to retail corporate speak (seniority: EXECUTIVE)
### Input: what kind of problems?
### Response: Could you elaborate on the challenges you're facing?",
Translate corporate speak to plain English,Let's optimize this for better outcomes,make it better,,"### Instruction: Translate corporate speak to plain English
### Input: Let's optimize this for better outcomes
### Response: make it better",True
Transform to consulting corporate speak (seniority: EXECUTIVE),"hey, how's the project going?",I wanted to touch base on the ROI project status.,"{'domain': 'consulting', 'seniority': 4, 'relationship': 'peer'}","### Instruction: Transform to consulting corporate speak (seniority: EXECUTIVE)
### Input: hey, how's the project going?
### Response: I wanted to touch base on the ROI project status.",
Create thought leadership content,best practices,We believe digital transformation trends will transform how organizations achieve their strategies,,"### Instruction: Create thought leadership content
### Input: best practices
### Response: We believe digital transformation trends will transform how organizations achieve their strategies",
Generate a professional response in finance style,thanks! glad it went well,Thank you for the feedback. I'm pleased it resonated with the audience.,"{'domain': 'finance', 'seniority': 4, 'relationship': 'superior'}","### Instruction: Generate a professional response in finance style
### Input: thanks! glad it went well
### Response: Thank you for the feedback. I'm pleased it resonated with the audience.",
Translate this corporate speak to plain English,I'll sync up with the team about outcomes,I'll meet with the team about outcomes,,"### Instruction: Translate this corporate speak to plain English
### Input: I'll sync up with the team about outcomes
### Response: I'll meet with the team about outcomes",
Generate a professional response in finance style,"it's going okay, hit a few snags","We're making steady progress, though we've encountered some profit margins that we're actively addressing.","{'domain': 'finance', 'seniority': 1, 'relationship': 'peer'}","### Instruction: Generate a professional response in finance style
### Input: it's going okay, hit a few snags
### Response: We're making steady progress, though we've encountered some profit margins that we're actively addressing.",
Translate this corporate speak to plain English,"going forward, let's circle back to discuss deliverables","From now on, let's talk later to discuss work",,"### Instruction: Translate this corporate speak to plain English
### Input: going forward, let's circle back to discuss deliverables
### Response: From now on, let's talk later to discuss work",
Transform to healthcare corporate speak (seniority: JUNIOR),got time to chat?,would it be possible to do you have availability for a brief discussion?,"{'domain': 'healthcare', 'seniority': 1, 'relationship': 'subordinate'}","### Instruction: Transform to healthcare corporate speak (seniority: JUNIOR)
### Input: got time to chat?
### Response: would it be possible to do you have availability for a brief discussion?",
Generate a professional response in tech_startup style,the timeline is tight and we need more people,The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.,"{'domain': 'tech_startup', 'seniority': 1, 'relationship': 'peer'}","### Instruction: Generate a professional response in tech_startup style
### Input: the timeline is tight and we need more people
### Response: The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.",
Respond to interview question as retail professional,what are your strengths?,"In my previous role, I focused on coordinating deliverables which resulted in sustainable growth","{'domain': 'retail', 'scenario': 'interview'}","### Instruction: Respond to interview question as retail professional
### Input: what are your strengths?
### Response: In my previous role, I focused on coordinating deliverables which resulted in sustainable growth",
Create comprehensive client proposal content,client proposal,We specialize in managing intuitive interface that enable businesses to enhance customer experience Our advanced analytics provide the outcomes you need to accelerate growth,,"### Instruction: Create comprehensive client proposal content
### Input: client proposal
### Response: We specialize in managing intuitive interface that enable businesses to enhance customer experience Our advanced analytics provide the outcomes you need to accelerate growth",
Transform to finance corporate speak (seniority: SENIOR),"hey, how's the project going?",I wanted to touch base on the liquidity project status.,"{'domain': 'finance', 'seniority': 3, 'relationship': 'superior'}","### Instruction: Transform to finance corporate speak (seniority: SENIOR)
### Input: hey, how's the project going?
### Response: I wanted to touch base on the liquidity project status.",
Translate this corporate speak to plain English,We should operationalize our outcomes to ensure achieve synergies,We should put into practice our outcomes to ensure achieve synergies,,"### Instruction: Translate this corporate speak to plain English
### Input: We should operationalize our outcomes to ensure achieve synergies
### Response: We should put into practice our outcomes to ensure achieve synergies",
Translate this corporate speak to plain English,We should operationalize our objectives to ensure maximize ROI,We should put into practice our objectives to ensure increase return,,"### Instruction: Translate this corporate speak to plain English
### Input: We should operationalize our objectives to ensure maximize ROI
### Response: We should put into practice our objectives to ensure increase return",
Create thought leadership content,market analysis,The future of sustainable business practices requires reviewing strategies that strategize customer-centricity,,"### Instruction: Create thought leadership content
### Input: market analysis
### Response: The future of sustainable business practices requires reviewing strategies that strategize customer-centricity",
Create call to action website content,why choose us?,Take the next step in working on your solutions - loop back for a consultation,,"### Instruction: Create call to action website content
### Input: why choose us?
### Response: Take the next step in working on your solutions - loop back for a consultation",
Transform to manufacturing corporate speak (seniority: EXECUTIVE),how about tomorrow at 2?,Would tomorrow at 2 PM work with your schedule?,"{'domain': 'manufacturing', 'seniority': 4, 'relationship': 'client'}","### Instruction: Transform to manufacturing corporate speak (seniority: EXECUTIVE)
### Input: how about tomorrow at 2?
### Response: Would tomorrow at 2 PM work with your schedule?",
Transform this to professional corporate communication,"Hey, can you send me the report?",Let's catch up on this to ensure we're tracking our solutions effectively,,"### Instruction: Transform this to professional corporate communication
### Input: Hey, can you send me the report?
### Response: Let's catch up on this to ensure we're tracking our solutions effectively",
Generate a professional response in retail style,works for me,That works perfectly. I'll send a calendar invite shortly.,"{'domain': 'retail', 'seniority': 1, 'relationship': 'client'}","### Instruction: Generate a professional response in retail style
### Input: works for me
### Response: That works perfectly. I'll send a calendar invite shortly.",
Create thought leadership content,industry trends,Our perspective on innovation methodologies is shaped by our experience developing strategies,,"### Instruction: Create thought leadership content
### Input: industry trends
### Response: Our perspective on innovation methodologies is shaped by our experience developing strategies",
Respond to this interview question professionally,describe a challenge you faced,"In my previous role, I focused on coordinating processes which resulted in operational excellence",,"### Instruction: Respond to this interview question professionally
### Input: describe a challenge you faced
### Response: In my previous role, I focused on coordinating processes which resulted in operational excellence",
Respond to interview question as tech_startup professional,what are your strengths?,I'm excited about the opportunity to optimize capabilities and drive market leadership,"{'domain': 'tech_startup', 'scenario': 'interview'}","### Instruction: Respond to interview question as tech_startup professional
### Input: what are your strengths?
### Response: I'm excited about the opportunity to optimize capabilities and drive market leadership",
Create roadmap vision content,product update,We're committed to coordinating innovative cloud infrastructure that implement your market leadership,,"### Instruction: Create roadmap vision content
### Input: product update
### Response: We're committed to coordinating innovative cloud infrastructure that implement your market leadership",
Translate this corporate speak to plain English,Can we circle back on the objectives early next week?,Can we circle back on the objectives early next week?,,"### Instruction: Translate this corporate speak to plain English
### Input: Can we circle back on the objectives early next week?
### Response: Can we circle back on the objectives early next week?",
Translate corporate speak to plain English,Could you share the deliverables?,send the file,,"### Instruction: Translate corporate speak to plain English
### Input: Could you share the deliverables?
### Response: send the file",True
Translate corporate speak to plain English,Do you have visibility on the current status?,any updates?,,"### Instruction: Translate corporate speak to plain English
### Input: Do you have visibility on the current status?
### Response: any updates?",True
Transform to corporate speak,work together,Let's synergize our efforts,,"### Instruction: Transform to corporate speak
### Input: work together
### Response: Let's synergize our efforts",True
Create culture description content,company mission,We champion collaboration by coordinating solutions that reflect our commitment to future-ready solutions,,"### Instruction: Create culture description content
### Input: company mission
### Response: We champion collaboration by coordinating solutions that reflect our commitment to future-ready solutions",
Respond to this interview question professionally,what are your strengths?,"In my previous role, I focused on organizing workflows which resulted in organizational efficiency",,"### Instruction: Respond to this interview question professionally
### Input: what are your strengths?
### Response: In my previous role, I focused on organizing workflows which resulted in organizational efficiency",
Translate this corporate speak to plain English,I'll reach out with the team about stakeholders,I'll contact with the team about stakeholders,,"### Instruction: Translate this corporate speak to plain English
### Input: I'll reach out with the team about stakeholders
### Response: I'll contact with the team about stakeholders",
Create thought leadership content,expert opinion,The future of customer experience evolution requires working on stakeholders that deliver industry transformation,,"### Instruction: Create thought leadership content
### Input: expert opinion
### Response: The future of customer experience evolution requires working on stakeholders that deliver industry transformation",
Transform this to professional corporate communication,I need help with this,Could you catch up when you have a moment to prioritize the outcomes?,,"### Instruction: Transform this to professional corporate communication
### Input: I need help with this
### Response: Could you catch up when you have a moment to prioritize the outcomes?",
Generate a professional response in consulting style,the timeline is tight and we need more people,The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.,"{'domain': 'consulting', 'seniority': 1, 'relationship': 'client'}","### Instruction: Generate a professional response in consulting style
### Input: the timeline is tight and we need more people
### Response: The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.",
Create investor communication content,investor call,Our investment in developing outcomes supports our long-term risk management strategy,,"### Instruction: Create investor communication content
### Input: investor call
### Response: Our investment in developing outcomes supports our long-term risk management strategy",
Transform to corporate speak,send the file,Could you share the deliverables?,,"### Instruction: Transform to corporate speak
### Input: send the file
### Response: Could you share the deliverables?",True
Generate a professional response in tech_startup style,"it's going okay, hit a few snags","We're making steady progress, though we've encountered some user adoption that we're actively addressing.","{'domain': 'tech_startup', 'seniority': 4, 'relationship': 'superior', 'conversation_type': 'project_update'}","### Instruction: Generate a professional response in tech_startup style
### Input: it's going okay, hit a few snags
### Response: We're making steady progress, though we've encountered some user adoption that we're actively addressing.",
Create thought leadership content,best practices,Our perspective on future of work is shaped by our experience updating resources,,"### Instruction: Create thought leadership content
### Input: best practices
### Response: Our perspective on future of work is shaped by our experience updating resources",
Create feature announcement for manufacturing company,announce new feature_announcement,We're excited to introduce cloud infrastructure that will deliver improved ROI,"{'domain': 'manufacturing', 'scenario': 'product_communication'}","### Instruction: Create feature announcement for manufacturing company
### Input: announce new feature_announcement
### Response: We're excited to introduce cloud infrastructure that will deliver improved ROI",
Generate a professional response in retail style,"sure, when?",I can make myself available. What timeframe works best for you?,"{'domain': 'retail', 'seniority': 4, 'relationship': 'peer'}","### Instruction: Generate a professional response in retail style
### Input: sure, when?
### Response: I can make myself available. What timeframe works best for you?",
